project_id,file_name,status,match_status,reason,pages,pages_with_text,text_layer_rate,pdf_tables_extracted,pages_with_tables,md_table_blocks,pdf_table_title_count,matched_title_count,title_complete_rate,checked_rows,complete_rows,partial_rows,missing_rows,skipped_rows,row_complete_rate,md_file,file_id
PL126,PL126_佛山市顺德区天玛仕电子有限公司改扩建项目_01_受理公告或公示版.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,95,55,57.9,141,54,0,65,65,100.0,1056,984,29,43,1316,93.2,解析文本拼接_表格清洗增强_06_101-120.md,115_佛山市顺德区天玛仕电子有限公司改扩建项目_01_受理公告或公示版
PL127,PL127_佛山市昇汇包装材料有限公司新建项目_01_受理公告或公示版.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,68,53,77.9,141,53,0,54,54,100.0,1051,958,35,58,1189,91.2,解析文本拼接_表格清洗增强_06_101-120.md,116_佛山市昇汇包装材料有限公司新建项目_01_受理公告或公示版
PL128,PL128_佛山市洲友尚包装材料有限公司新建项目_01_受理公告或公示版.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,96,70,72.9,168,66,0,55,53,96.4,1070,972,37,61,1363,90.8,解析文本拼接_表格清洗增强_08_141-160.md,141_佛山市洲友尚包装材料有限公司新建项目_01_受理公告或公示版
PL130,PL130_佛山万美塑料制品有限公司迁扩建项目_01_受理公告或公示版.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,108,75,69.4,173,76,0,6,5,83.3,1146,1002,41,103,1365,87.4,解析文本拼接_表格清洗增强_06_101-120.md,118_佛山万美塑料制品有限公司迁扩建项目_01_受理公告或公示版
PL131,PL131_佛山市顺德区凯锦电器有限公司新建项目_01_受理公告或公示版.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,65,53,81.5,143,53,0,47,47,100.0,767,683,40,44,1249,89.0,解析文本拼接_表格清洗增强_06_101-120.md,119_佛山市顺德区凯锦电器有限公司新建项目_01_受理公告或公示版
PL132,PL132_佛山市龙广塑料制品有限公司新建项目_01_受理公告或公示版.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,69,47,68.1,123,47,0,67,67,100.0,846,766,34,46,1053,90.5,解析文本拼接_表格清洗增强_06_101-120.md,120_佛山市龙广塑料制品有限公司新建项目_01_受理公告或公示版
PL133,PL133_佛山市特美仕电器有限公司迁扩建项目_01_报批稿或报告表.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,115,74,64.3,203,73,0,79,79,100.0,1321,1204,53,64,1707,91.1,解析文本拼接_表格清洗增强_07_121-140.md,121_佛山市特美仕电器有限公司迁扩建项目_01_报批稿或报告表
PL134,PL134_佛山市广优顺品日用品有限公司新建项目_01_报批稿或报告表.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,126,73,57.9,177,73,0,65,65,100.0,884,807,29,48,1311,91.3,解析文本拼接_表格清洗增强_07_121-140.md,122_佛山市广优顺品日用品有限公司新建项目_01_报批稿或报告表
PL135,PL135_佛山市邸怡居家居有限公司新建项目_01_受理公告或公示版.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,76,59,77.6,144,59,0,56,56,100.0,1110,1017,35,58,1313,91.6,解析文本拼接_表格清洗增强_07_121-140.md,123_佛山市邸怡居家居有限公司新建项目_01_受理公告或公示版
PL136,PL136_佛山市创灏五金塑料有限公司年产塑料制品1250万件迁改扩建项目_01_受理公告或公示版.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,100,74,74.0,180,73,0,19,19,100.0,912,863,12,37,1746,94.6,解析文本拼接_表格清洗增强_07_121-140.md,124_佛山市创灏五金塑料有限公司年产塑料制品1250万件迁改扩建项目_01_受理公告或公示版
PL137,PL137_佛山市顺德区谦和丰塑料制品厂新建项目_01_受理公告或公示版.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,61,44,72.1,123,44,0,66,66,100.0,719,662,26,31,1014,92.1,解析文本拼接_表格清洗增强_07_121-140.md,125_佛山市顺德区谦和丰塑料制品厂新建项目_01_受理公告或公示版
PL138,PL138_佛山市顺德区谦迅盛塑料制品厂新建项目_01_受理公告或公示版.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,61,44,72.1,124,43,0,66,66,100.0,709,638,28,43,1069,90.0,解析文本拼接_表格清洗增强_07_121-140.md,126_佛山市顺德区谦迅盛塑料制品厂新建项目_01_受理公告或公示版
PL140,PL140_广东顺德意达电子薄膜器件有限公司扩建项目_01_受理公告或公示版.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,108,93,86.1,221,92,0,76,76,100.0,1395,1236,66,93,1860,88.6,解析文本拼接_表格清洗增强_07_121-140.md,127_广东顺德意达电子薄膜器件有限公司扩建项目_01_受理公告或公示版
PL141,PL141_佛山市加耐安塑料制品有限公司新建项目_01_受理公告或公示版.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,85,70,82.4,183,67,0,54,53,98.1,1133,998,47,88,1846,88.1,解析文本拼接_表格清洗增强_07_121-140.md,128_佛山市加耐安塑料制品有限公司新建项目_01_受理公告或公示版
PL142,PL142_佛山市京耘科技有限公司新建项目_01_受理公告或公示版.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,75,58,77.3,152,57,0,52,52,100.0,906,827,33,46,1146,91.3,解析文本拼接_表格清洗增强_07_121-140.md,129_佛山市京耘科技有限公司新建项目_01_受理公告或公示版
PL143,PL143_佛山市汇铭臻新材料科技有限公司新建项目_01_受理公告或公示版.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,86,72,83.7,172,70,0,1,0,0.0,1044,917,37,90,1479,87.8,解析文本拼接_表格清洗增强_07_121-140.md,130_佛山市汇铭臻新材料科技有限公司新建项目_01_受理公告或公示版
PL144,PL144_佛山市千紫珏科技有限公司新建项目_01_受理公告或公示版.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,87,71,81.6,179,69,0,1,0,0.0,1106,983,36,87,1458,88.9,解析文本拼接_表格清洗增强_07_121-140.md,131_佛山市千紫珏科技有限公司新建项目_01_受理公告或公示版
PL145,PL145_佛山市万朗磁塑制品有限公司顺德分公司新建项目_01_报批稿或报告表.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,80,62,77.5,159,61,0,0,0,100,1091,980,35,76,1247,89.8,解析文本拼接_表格清洗增强_07_121-140.md,132_佛山市万朗磁塑制品有限公司顺德分公司新建项目_01_报批稿或报告表
PL146,PL146_佛山市顺德区全华工艺饰品有限公司新建项目_01_报批稿或报告表.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,77,46,59.7,116,47,0,53,53,100.0,613,566,16,31,902,92.3,解析文本拼接_表格清洗增强_07_121-140.md,133_佛山市顺德区全华工艺饰品有限公司新建项目_01_报批稿或报告表
