excel_order,new_project_order,project_name,version_index,old_name,new_name
27,17,佛山市瑞易德塑料五金制品有限公司搬迁项目,1,028_佛山市瑞易德塑料五金制品有限公司搬迁项目_01_受理公告或公示版.pdf,017_佛山市瑞易德塑料五金制品有限公司搬迁项目_01_受理公告或公示版.pdf
28,18,佛山市浩创时代包装制品有限公司新建项目,1,029_佛山市浩创时代包装制品有限公司新建项目_01_受理公告或公示版.pdf,018_佛山市浩创时代包装制品有限公司新建项目_01_受理公告或公示版.pdf
28,18,佛山市浩创时代包装制品有限公司新建项目,2,135_佛山市浩创时代包装制品有限公司新建项目_01_受理公告或公示版.pdf,018_佛山市浩创时代包装制品有限公司新建项目_02_受理公告或公示版.pdf
29,19,德旺众新材料科技（佛山）有限公司新建建设项目,1,030_德旺众新材料科技（佛山）有限公司新建建设项目_01_受理公告或公示版.pdf,019_德旺众新材料科技(佛山)有限公司新建建设项目_01_受理公告或公示版.pdf
30,20,广东施格纳电气有限公司新建项目,1,031_广东施格纳电气有限公司新建项目_01_受理公告或公示版.pdf,020_广东施格纳电气有限公司新建项目_01_受理公告或公示版.pdf
31,21,佛山市沃丰德电器有限公司扩建项目,1,032_佛山市沃丰德电器有限公司扩建项目_01_受理公告或公示版.pdf,021_佛山市沃丰德电器有限公司扩建项目_01_受理公告或公示版.pdf
32,22,佛山市顺德区钧锐塑料厂迁建项目,1,033_佛山市顺德区钧锐塑料厂迁建项目_01_受理公告或公示版.pdf,022_佛山市顺德区钧锐塑料厂迁建项目_01_受理公告或公示版.pdf
33,23,广东梅州磁性材料有限公司顺德分公司迁扩建项目,1,034_广东梅州磁性材料有限公司顺德分公司迁扩建项目_01_受理公告或公示版.pdf,023_广东梅州磁性材料有限公司顺德分公司迁扩建项目_01_受理公告或公示版.pdf
34,24,佛山麦琪科技有限公司建设项目,1,035_佛山麦琪科技有限公司建设项目_01_受理公告或公示版.pdf,024_佛山麦琪科技有限公司建设项目_01_受理公告或公示版.pdf
35,25,佛山市顺德区晟昂电子科技有限公司新建项目,1,036_佛山市顺德区晟昂电子科技有限公司新建项目_01_报批稿或报告表.pdf,025_佛山市顺德区晟昂电子科技有限公司新建项目_01_报批稿或报告表.pdf
36,26,佛山市锦汇塑料制品有限公司新建项目,1,037_佛山市锦汇塑料制品有限公司新建项目_01_受理公告或公示版.pdf,026_佛山市锦汇塑料制品有限公司新建项目_01_受理公告或公示版.pdf
37,27,佛山市海川塑料制品有限公司新建项目,1,038_佛山市海川塑料制品有限公司新建项目_01_受理公告或公示版.pdf,027_佛山市海川塑料制品有限公司新建项目_01_受理公告或公示版.pdf
38,28,佛山市创灏五金塑料有限公司年产塑料制品 1250 万件迁改扩建项目,1,039_佛山市创灏五金塑料有限公司年产塑料制品1250万件迁改扩建项目_01_受理公告或公示版.pdf,028_佛山市创灏五金塑料有限公司年产塑料制品1250万件迁改扩建项目_01_受理公告或公示版.pdf
38,28,佛山市创灏五金塑料有限公司年产塑料制品 1250 万件迁改扩建项目,2,124_佛山市创灏五金塑料有限公司年产塑料制品1250万件迁改扩建项目_01_受理公告或公示版.pdf,028_佛山市创灏五金塑料有限公司年产塑料制品1250万件迁改扩建项目_02_受理公告或公示版.pdf
39,29,佛山市顺德区夏瑞塑胶有限公司迁扩建项目,1,040_佛山市顺德区夏瑞塑胶有限公司迁扩建项目_01_受理公告或公示版.pdf,029_佛山市顺德区夏瑞塑胶有限公司迁扩建项目_01_受理公告或公示版.pdf
40,30,佛山市益旭电器有限公司新建项目,1,041_佛山市益旭电器有限公司新建项目_01_受理公告或公示版.pdf,030_佛山市益旭电器有限公司新建项目_01_受理公告或公示版.pdf
41,31,佛山市昇汇包装材料有限公司新建项目,1,042_佛山市昇汇包装材料有限公司新建项目_01_受理公告或公示版.pdf,031_佛山市昇汇包装材料有限公司新建项目_01_受理公告或公示版.pdf
41,31,佛山市昇汇包装材料有限公司新建项目,2,116_佛山市昇汇包装材料有限公司新建项目_01_受理公告或公示版.pdf,031_佛山市昇汇包装材料有限公司新建项目_02_受理公告或公示版.pdf
42,32,佛山市富懿塑料制品有限公司新建项目,1,043_佛山市富懿塑料制品有限公司新建项目_01_报批稿或报告表.pdf,032_佛山市富懿塑料制品有限公司新建项目_01_报批稿或报告表.pdf
43,33,佛山市圣鑫塑料制品有限公司新建项目,1,044_佛山市圣鑫塑料制品有限公司新建项目_01_受理公告或公示版.pdf,033_佛山市圣鑫塑料制品有限公司新建项目_01_受理公告或公示版.pdf
44,34,佛山智达医疗器械有限公司新建项目,1,045_佛山智达医疗器械有限公司新建项目_01_受理公告或公示版.pdf,034_佛山智达医疗器械有限公司新建项目_01_受理公告或公示版.pdf
45,35,佛山市顺德区华祥坤工艺电器有限公司扩建项目,1,046_佛山市顺德区华祥坤工艺电器有限公司扩建项目_01_受理公告或公示版.pdf,035_佛山市顺德区华祥坤工艺电器有限公司扩建项目_01_受理公告或公示版.pdf
46,36,广东希睿思汽车零部件有限公司新建项目,1,047_广东希睿思汽车零部件有限公司新建项目_01_受理公告或公示版.pdf,036_广东希睿思汽车零部件有限公司新建项目_01_受理公告或公示版.pdf
47,37,佛山市顺德区嘉保洁具有限公司迁建项目,1,048_佛山市顺德区嘉保洁具有限公司迁建项目_01_报批稿或报告表.pdf,037_佛山市顺德区嘉保洁具有限公司迁建项目_01_报批稿或报告表.pdf
48,38,佛山市力方电器科技有限公司新建项目,1,049_佛山市力方电器科技有限公司新建项目_01_报批稿或报告表.pdf,038_佛山市力方电器科技有限公司新建项目_01_报批稿或报告表.pdf
49,39,佛山市顺德区红昇电器有限公司新建项目,1,050_佛山市顺德区红昇电器有限公司新建项目_01_受理公告或公示版.pdf,039_佛山市顺德区红昇电器有限公司新建项目_01_受理公告或公示版.pdf
50,40,佛山市力新五金塑胶制品有限公司新建项目,1,051_佛山市力新五金塑胶制品有限公司新建项目_01_受理公告或公示版.pdf,040_佛山市力新五金塑胶制品有限公司新建项目_01_受理公告或公示版.pdf
51,41,佛山市祖帮海绵有限公司新建项目,1,052_佛山市祖帮海绵有限公司新建项目_01_受理公告或公示版.pdf,041_佛山市祖帮海绵有限公司新建项目_01_受理公告或公示版.pdf
51,41,佛山市祖帮海绵有限公司新建项目,2,157_佛山市祖帮海绵有限公司新建项目_01_报批稿或报告表.docx,041_佛山市祖帮海绵有限公司新建项目_02_报批稿或报告表.docx
51,41,佛山市祖帮海绵有限公司新建项目,3,157_佛山市祖帮海绵有限公司新建项目_02_报批稿或报告表.pdf,041_佛山市祖帮海绵有限公司新建项目_03_报批稿或报告表.pdf
51,41,佛山市祖帮海绵有限公司新建项目,4,157_佛山市祖帮海绵有限公司新建项目_03_报批稿或报告表.pdf,041_佛山市祖帮海绵有限公司新建项目_04_报批稿或报告表.pdf
52,42,佛山粤友塑料制品有限公司新建项目,1,053_佛山粤友塑料制品有限公司新建项目_01_受理公告或公示版.pdf,042_佛山粤友塑料制品有限公司新建项目_01_受理公告或公示版.pdf
53,43,佛山诗佳格科技有限公司新建项目,1,054_佛山诗佳格科技有限公司新建项目_01_受理公告或公示版.pdf,043_佛山诗佳格科技有限公司新建项目_01_受理公告或公示版.pdf
54,44,佛山市乔安电器有限公司迁建项目,1,055_佛山市乔安电器有限公司迁建项目_01_受理公告或公示版.pdf,044_佛山市乔安电器有限公司迁建项目_01_受理公告或公示版.pdf
55,45,佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,1,056_佛山市顺德区菱昌精密塑料五金实业有限公司新建项目_01_受理公告或公示版.pdf,045_佛山市顺德区菱昌精密塑料五金实业有限公司新建项目_01_受理公告或公示版.pdf
55,45,佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2,147_佛山市顺德区菱昌精密塑料五金实业有限公司新建项目_01_受理公告或公示版.pdf,045_佛山市顺德区菱昌精密塑料五金实业有限公司新建项目_02_受理公告或公示版.pdf
56,46,佛山市德田科技有限公司建设项目,1,057_佛山市德田科技有限公司建设项目_01_受理公告或公示版.pdf,046_佛山市德田科技有限公司建设项目_01_受理公告或公示版.pdf
57,47,佛山市车壹套塑料制品有限公司新建项目,1,058_佛山市车壹套塑料制品有限公司新建项目_01_受理公告或公示版.pdf,047_佛山市车壹套塑料制品有限公司新建项目_01_受理公告或公示版.pdf
58,48,华硕（广东）新材料股份有限公司新建项目,1,059_华硕（广东）新材料股份有限公司新建项目_01_报批稿或报告表.pdf,048_华硕(广东)新材料股份有限公司新建项目_01_报批稿或报告表.pdf
59,49,佛山汇诚科技有限公司新建项目,1,060_佛山汇诚科技有限公司新建项目_01_报批稿或报告表.pdf,049_佛山汇诚科技有限公司新建项目_01_报批稿或报告表.pdf
60,50,佛山市景素科科技有限公司建设项目,1,061_佛山市景素科科技有限公司建设项目_01_受理公告或公示版.pdf,050_佛山市景素科科技有限公司建设项目_01_受理公告或公示版.pdf
61,51,佛山市智鑫塑胶制品有限公司迁扩建项目,1,062_佛山市智鑫塑胶制品有限公司迁扩建项目_01_报批稿或报告表.pdf,051_佛山市智鑫塑胶制品有限公司迁扩建项目_01_报批稿或报告表.pdf
