project_id,project_name,report_file_name,report_file_type,report_relative_identifier,report_sha256,report_version,parse_status,section_index_status,source_available,notes
PL029,佛山市茂安耀科技有限公司新建项目,027_佛山市茂安耀科技有限公司新建项目_01_受理公告或公示版.json,.json,027_佛山市茂安耀科技有限公司新建项目_01_受理公告或公示版/027_佛山市茂安耀科技有限公司新建项目_01_受理公告或公示版.json,4adbd1021ed7e36c73d81c24aa43f69d1f8cf7b0d81ee03f53f319507b3926da,source_snapshot_v1,success,success,true,fuzzy_match=0.9800
PL030,佛山市瑞易德塑料五金制品有限公司搬迁项目,028_佛山市瑞易德塑料五金制品有限公司搬迁项目_01_受理公告或公示版.json,.json,028_佛山市瑞易德塑料五金制品有限公司搬迁项目_01_受理公告或公示版/028_佛山市瑞易德塑料五金制品有限公司搬迁项目_01_受理公告或公示版.json,559ae7ce2433b34da830376367e1565977223cdb3e8780b2de6ebfb4f4d8a6be,source_snapshot_v1,success,success,true,fuzzy_match=0.9800
PL031,佛山市浩创时代包装制品有限公司新建项目,029_佛山市浩创时代包装制品有限公司新建项目_01_受理公告或公示版.json,.json,029_佛山市浩创时代包装制品有限公司新建项目_01_受理公告或公示版/029_佛山市浩创时代包装制品有限公司新建项目_01_受理公告或公示版.json,967b2b3bd09e940e7d5b63ca19c7207287cbd51d8a345f70e88278d0794babad,source_snapshot_v1,success,success,true,fuzzy_match=0.9800
PL032,德旺众新材料科技（佛山）有限公司新建建设项目,030_德旺众新材料科技（佛山）有限公司新建建设项目_01_受理公告或公示版.json,.json,030_德旺众新材料科技（佛山）有限公司新建建设项目_01_受理公告或公示版/030_德旺众新材料科技（佛山）有限公司新建建设项目_01_受理公告或公示版.json,78202d3734e245bcc640e65a384c32acc3d5f1ec5dd593e0b266845841c4750a,source_snapshot_v1,success,success,true,fuzzy_match=0.9800
PL033,广东施格纳电气有限公司新建项目,031_广东施格纳电气有限公司新建项目_01_受理公告或公示版.json,.json,031_广东施格纳电气有限公司新建项目_01_受理公告或公示版/031_广东施格纳电气有限公司新建项目_01_受理公告或公示版.json,61bd7bef6f4f055a173930b33e640f874e8423a89e3d16cd598be588a049d418,source_snapshot_v1,success,success,true,fuzzy_match=0.9800
PL034,佛山市沃丰德电器有限公司扩建项目,032_佛山市沃丰德电器有限公司扩建项目_01_受理公告或公示版.json,.json,032_佛山市沃丰德电器有限公司扩建项目_01_受理公告或公示版/032_佛山市沃丰德电器有限公司扩建项目_01_受理公告或公示版.json,4ff56af42cc82bcb4700a3cf893d645f04ecc3ae65b43f22b344d294ac0d4670,source_snapshot_v1,success,success,true,fuzzy_match=0.9800
PL035,佛山市顺德区钧锐塑料厂迁建项目,033_佛山市顺德区钧锐塑料厂迁建项目_01_受理公告或公示版.json,.json,033_佛山市顺德区钧锐塑料厂迁建项目_01_受理公告或公示版/033_佛山市顺德区钧锐塑料厂迁建项目_01_受理公告或公示版.json,4f6369c9c03f9851934cdb00aa0857f7178660b59eee217a01223e647d4a1ec3,source_snapshot_v1,success,success,true,fuzzy_match=0.9800
PL036,广东梅州磁性材料有限公司顺德分公司迁扩建项目,034_广东梅州磁性材料有限公司顺德分公司迁扩建项目_01_受理公告或公示版.json,.json,034_广东梅州磁性材料有限公司顺德分公司迁扩建项目_01_受理公告或公示版/034_广东梅州磁性材料有限公司顺德分公司迁扩建项目_01_受理公告或公示版.json,2c2db290f2ec2c86d1693ae6e2c37a1f1391ba720894d930422ca3726a5a8447,source_snapshot_v1,success,success,true,fuzzy_match=0.9800
PL037,佛山麦琪科技有限公司建设项目,035_佛山麦琪科技有限公司建设项目_01_受理公告或公示版.json,.json,035_佛山麦琪科技有限公司建设项目_01_受理公告或公示版/035_佛山麦琪科技有限公司建设项目_01_受理公告或公示版.json,c1842f0050338948ee805802b13bfb5f57455a7a2b3f2dbbe6e4270b512d8694,source_snapshot_v1,success,success,true,fuzzy_match=0.9800
PL038,佛山市顺德区晟昂电子科技有限公司新建项目,036_佛山市顺德区晟昂电子科技有限公司新建项目_01_报批稿或报告表.json,.json,036_佛山市顺德区晟昂电子科技有限公司新建项目_01_报批稿或报告表/036_佛山市顺德区晟昂电子科技有限公司新建项目_01_报批稿或报告表.json,e6abb073f5ef3125dae326503a3a4b4593407a5cc96999209212d7495e1de34a,source_snapshot_v1,success,success,true,fuzzy_match=0.9800
PL039,佛山市锦汇塑料制品有限公司新建项目,037_佛山市锦汇塑料制品有限公司新建项目_01_受理公告或公示版.json,.json,037_佛山市锦汇塑料制品有限公司新建项目_01_受理公告或公示版/037_佛山市锦汇塑料制品有限公司新建项目_01_受理公告或公示版.json,37fcab315c01708f447220df74ca986a76c6a30f103a851367ca6db407421447,source_snapshot_v1,success,success,true,fuzzy_match=0.9800
PL040,佛山市海川塑料制品有限公司新建项目,038_佛山市海川塑料制品有限公司新建项目_01_受理公告或公示版.json,.json,038_佛山市海川塑料制品有限公司新建项目_01_受理公告或公示版/038_佛山市海川塑料制品有限公司新建项目_01_受理公告或公示版.json,eb7cf546b343832a62a0e79931b2286e0c32dacdf4a0856b17326cc9832e1f65,source_snapshot_v1,success,success,true,fuzzy_match=0.9800
PL041,佛山市创灏五金塑料有限公司年产塑料制品 1250 万件迁改扩建项目,039_佛山市创灏五金塑料有限公司年产塑料制品1250万件迁改扩建项目_01_受理公告或公示版.json,.json,039_佛山市创灏五金塑料有限公司年产塑料制品1250万件迁改扩建项目_01_受理公告或公示版/039_佛山市创灏五金塑料有限公司年产塑料制品1250万件迁改扩建项目_01_受理公告或公示版.json,e3ae653160b06df662231cea1a8f64a31fe001091b26f5a85a6ff5678b7a664d,source_snapshot_v1,success,success,true,fuzzy_match=0.9800
PL042,佛山市顺德区夏瑞塑胶有限公司迁扩建项目,040_佛山市顺德区夏瑞塑胶有限公司迁扩建项目_01_受理公告或公示版.json,.json,040_佛山市顺德区夏瑞塑胶有限公司迁扩建项目_01_受理公告或公示版/040_佛山市顺德区夏瑞塑胶有限公司迁扩建项目_01_受理公告或公示版.json,7e40e87a7166a417dd1c82a07d58a20609b097706fcf523f85c23b2d646b4a25,source_snapshot_v1,success,success,true,fuzzy_match=0.9800
PL043,佛山市益旭电器有限公司新建项目,041_佛山市益旭电器有限公司新建项目_01_受理公告或公示版.json,.json,041_佛山市益旭电器有限公司新建项目_01_受理公告或公示版/041_佛山市益旭电器有限公司新建项目_01_受理公告或公示版.json,23432b460dc8f3f463f1aa18a9c28322b62653632fa2f69f156d859cc167a3e3,source_snapshot_v1,success,success,true,fuzzy_match=0.9800
PL044,佛山市昇汇包装材料有限公司新建项目,042_佛山市昇汇包装材料有限公司新建项目_01_受理公告或公示版.json,.json,042_佛山市昇汇包装材料有限公司新建项目_01_受理公告或公示版/042_佛山市昇汇包装材料有限公司新建项目_01_受理公告或公示版.json,c4df6804c7170142ed31aca7509d2b03fda20fcf7ac957e6d7c34da9e551e754,source_snapshot_v1,success,success,true,fuzzy_match=0.9800
