project_id,project_name,evidence_type,evidence_id,source_location,value,extra,quote,source_file
PL005,佛山市润特龙清洁用品有限公司新建项目,E1,E1-1,"{""section"": ""一、建设项目基本情况"", ""table_number"": null, ""table_name"": null, ""field_name"": ""国民经济行业类别""}",国民经济行业类别 C2927日用塑料制品制造,,国民经济行业类别 C2927日用塑料制品制造,PL005_佛山市润特龙清洁用品有限公司新建项目_01_核查材料.docx
PL005,佛山市润特龙清洁用品有限公司新建项目,E2,E2-1,"{""section"": ""二、建设项目工程分析"", ""table_number"": ""表2-1"", ""table_name"": ""项目工程组成表"", ""field_name"": ""产品名称/备注/产能""}",工艺流程和产排污环节 | 1、工艺流程简述（图示）本项目主要从事扫把丝、刷丝、清洁扫把、清洁刷的生产，具体生产工艺及产污流程如下图。（1）扫把丝、刷丝图2-2 扫把丝、刷丝生产工艺流程图工艺流程说明：①混料：项目在上料前，将外购的PET、PP、改性PET、尼龙、PS、EVA、PBT塑料粒+色母按产品要求经人工投入混料机搅拌均匀。本项目使用的塑料原料均为粒状物料，投料工序过程中基本无粉尘产生，此过程会产生噪声、废包装材料。②挤出：上料后，挤出机通过电加热至200-220℃将原料熔融至液体状态后进行挤出成型，此过程会产生非甲烷总烃、恶臭、噪声、边角料。材料挤出后经过冷却槽进行直接冷却，冷却槽的水为自来水，不添加助剂，冷却水循环使用，经静置沉淀后，用作如厕冲水。③检测：人工检测是否有次品，此过程会产生次品。④收卷：检测合格的塑料丝经收卷机进行收卷，此过程会产生噪声。⑤烘干定型：经烘干箱把水分烘干，烘干箱工作温度为150-160℃，烘干时间为2-3min。此过程会产生噪声、非甲烷总烃、恶臭。⑥切丝：利用切丝机物理切割切成指定的长度，该过程会产生噪声、边角料。⑦破碎：生产过程会产生一定的边角料、次品，产生的边角料、次品经收集后，投入破碎机中破碎后回用于生产，此过程会产生噪声、粉尘。备注：项目使用的设备均使用电能。（2）清洁扫把、清洁刷生产工艺流程：图2-3 清洁扫把、清洁刷生产工艺流程图工艺流程说明：植丝：将外购的扫把头、刷头和项目生产的扫把丝、刷丝通过植丝物理组装在一起，此过程会产生噪声。人工修毛：将刷毛长短不一的部分修平整，该过程会产生边角料，边角料投入破碎机中破碎后回用于生产。人工包装：人工进行简单包装后，变得到最后的成品。2、产污情况根据以上分析可知，本项目运营期间产生的主要污染物及配套设施见下表。表2-9 产污环节及配套设施一览表污染源产污环节污染源名称主要污染物配套设施废水员工生活生活污水CODcr、BOD5、SS、NH3-N三级化粪池挤出工序冷却水SS循环使用，经静置沉淀后，用作如厕冲水。废气挤出、烘干工序挤出废气非甲烷总烃、臭气浓度集气罩+帘幕收集经“二级活性炭吸附”处理后引至15m高排气筒G1高空排放。破碎工序破碎粉尘颗粒物运行时加盖，出料口采用袋式封闭接料，加强厂区通风噪声生产过程设备运行噪声墙体隔声、基础减振、合理布局噪声源固废员工生活生活垃圾交环卫部门清运生产过程一般工业固体废物废包装材料分类交回收商回收利用危险废物废机油、废机油桶、含油废抹布和手套、废活性炭危险废物暂存间内暂存；定期交由具有相应危险废物处理资质的单位回收处理,1、工艺流程简述（图示）本项目主要从事扫把丝、刷丝、清洁扫把、清洁刷的生产，具体生产工艺及产污流程如下图。（1）扫把丝、刷丝图2-2 扫把丝、刷丝生产工艺流程图工艺流程说明：①混料：项目在上料前，将外购的PET、PP、改性PET、尼龙、PS、EVA、PBT塑料粒+色母按产品要求经人工投入混料机搅拌均匀。本项目使用的塑料原料均为粒状物料，投料工序过程中基本无粉尘产生，此过程会产生噪声、废包装材料。②挤出：上料后，挤出机通过电加热至200-220℃将原料熔融至液体状态后进行挤出成型，此过程会产生非甲烷总烃、恶臭、噪声、边角料。材料挤出后经过冷却槽进行直接冷却，冷却槽的水为自来水，不添加助剂，冷却水循环使用，经静置沉淀后，用作如厕冲水。③检测：人工检测是否有次品，此过程会产生次品。④收卷：检测合格的塑料丝经收卷机进行收卷，此过程会产生噪声。⑤烘干定型：经烘干箱把水分烘干，烘干箱工作温度为150-160℃，烘干时间为2-3min。此过程会产生噪声、非甲烷总烃、恶臭。⑥切丝：利用切丝机物理切割切成指定的长度，该过程会产生噪声、边角料。⑦破碎：生产过程会产生一定的边角料、次品，产生的边角料、次品经收集后，投入破碎机中破碎后回用于生产，此过程会产生噪声、粉尘。备注：项目使用的设备均使用电能。（2）清洁扫把、清洁刷生产工艺流程：图2-3 清洁扫把、清洁刷生产工艺流程图工艺流程说明：植丝：将外购的扫把头、刷头和项目生产的扫把丝、刷丝通过植丝物理组装在一起，此过程会产生噪声。人工修毛：将刷毛长短不一的部分修平整，该过程会产生边角料，边角料投入破碎机中破碎后回用于生产。人工包装：人工进行简单包装后，变得到最后的成品。2、产污情况根据以上分析可知，本项目运营期间产生的主要污染物及配套设施见下表。表2-9 产污环节及配套设施一览表污染源产污环节污染源名称主要污染物配套设施废水员工生活生活污水CODcr、BOD5、SS、NH3-N三级化粪池挤出工序冷却水SS循环使用，经静置沉淀后，用作如厕冲水。废气挤出、烘干工序挤出废气非甲烷总烃、臭气浓度集气罩+帘幕收集经“二级活性炭吸附”处理后引至15m高排气筒G1高空排放。破碎工序破碎粉尘颗粒物运行时加盖，出料口采用袋式封闭接料，加强厂区通风噪声生产过程设备运行噪声墙体隔声、基础减振、合理布局噪声源固废员工生活生活垃圾交环卫部门清运生产过程一般工业固体废物废包装材料分类交回收商回收利用危险废物废机油、废机油桶、含油废抹布和手套、废活性炭危险废物暂存间内暂存；定期交由具有相应危险废物处理资质的单位回收处理,工艺流程和产排污环节 | 1、工艺流程简述（图示）本项目主要从事扫把丝、刷丝、清洁扫把、清洁刷的生产，具体生产工艺及产污流程如下图。（1）扫把丝、刷丝图2-2 扫把丝、刷丝生产工艺流程图工艺流程说明：①混料：项目在上料前，将外购的PET、PP、改性PET、尼龙、PS、EVA、PBT塑料粒+色母按产品要求经人工投入混料机搅拌均匀。本项目使用的塑料原料均为粒状物料，投料工序过程中基本无粉尘产生，此过程会产生噪声、废包装材料。②挤出：上料后，挤出机通过电加热至200-220℃将原料熔融至液体状态后进行挤出成型，此过程会产生非甲烷总烃、恶臭、噪声、边角料。材料挤出后经过冷却槽进行直接冷却，冷却槽的水…,PL005_佛山市润特龙清洁用品有限公司新建项目_01_核查材料.docx
PL005,佛山市润特龙清洁用品有限公司新建项目,E4,E4-1,"{""section"": ""二、建设项目工程分析"", ""table_number"": null, ""table_name"": null, ""field_name"": ""工艺流程简述/生产工艺流程""}",混料、投料、搅拌、挤出、冷却、破碎、包装,,工艺流程简述（图示）本项目主要从事扫把丝、刷丝、清洁扫把、清洁刷的生产，具体生产工艺及产污流程如下图。（1）扫把丝、刷丝图2-2 扫把丝、刷丝生产工艺流程图工艺流程说明：①混料：项目在上料前，将外购的PET、PP、改性PET、尼龙、PS、EVA、PBT塑料粒+色母按产品要求经人工投入混料机搅拌均匀。本项目使用的塑料原料均为粒状物料，投料工序过程中基本无粉尘产生，此过程会产生噪声、废包装材料。②挤出：上料后，挤出机通过电加热至200-220℃将原料熔融至液体状态后进行挤出成型，此过程会产生非甲烷总烃、恶臭、噪声、边角料。材料挤出后经过冷却槽进行直接冷却，冷却槽的水为自来水，不添加助剂，冷却水循…,PL005_佛山市润特龙清洁用品有限公司新建项目_01_核查材料.docx
PL006,佛山市顺德区乐鲸科技有限公司年产五金拉手300万个新建项目,E1,E1-1,"{""section"": ""一、建设项目基本情况"", ""table_number"": null, ""table_name"": null, ""field_name"": ""国民经济行业类别""}",国民经济行业类别 C3389其他金属制日用品制造,,国民经济行业类别 C3389其他金属制日用品制造,PL006_佛山市顺德区乐鲸科技有限公司年产五金拉手300万个新建项目_01_修改评估意见.docx
PL006,佛山市顺德区乐鲸科技有限公司年产五金拉手300万个新建项目,E2,E2-1,"{""section"": ""二、建设项目工程分析"", ""table_number"": ""表2-3"", ""table_name"": ""本项目原辅料消耗一览表"", ""field_name"": ""产品名称/备注/产能""}",工艺流程和产排污环节 | 工艺流程简述（图示）： 图2-3 项目抽屉拉手、柜子拉手、门拉手生产工艺流程及产污环节示意图工艺流程说明： ①检查：人工检查原料是否有明显油迹，有明显油迹的要使用无尘擦拭布进行擦拭。 ②上挂：将经过检查的工件进行上挂。 ③除尘：工件喷涂前需要进入除尘房以清除表面粘附的少量灰尘，除尘房的除尘工艺为静电除尘。静电除尘原理：利用静电除尘枪高速吹出带有正负电荷离子的气流，将工件上所带的电荷中和掉，达到消除静电的目的，工件不再吸附空气中的灰尘，同时高速的压缩气流还可将物体上的灰尘吹走。 ④喷纳米油：工件经过流水线进入喷漆房进行喷涂作业，喷涂喷涂工艺为静电喷涂， 利用电晕放电原理使雾化涂料在高压直流电场作用下荷负电，并吸附于荷正电基底表面。 喷纳米油使用的喷枪需要定期进行清洗，清洗过程利用喷枪的供漆管道接入洗枪水的包装桶进行抽出并从喷口处喷出即可达到清洗的效果。喷漆房共设有喷枪8支，每4支一组（共分成两组）喷枪以满足工件不同角度进行同时喷涂，工作日每10天清洗一次全部的喷枪。 ⑤烘干：喷完纳米油的工件会通过流水线进入烘干线进行烘干，烘干线内温度约为160℃。 ⑥下挂：将工件取下生产线。 ⑦打包：人工将烘干完的工件进行打包得到成品。 二、主要产污工序 （1）废水：生活污水；水帘柜废水、喷淋塔废水。 （2）废气：喷纳米油产生的漆雾；喷纳米油、烘干、清洗喷枪工序产生的VOCs和恶臭；烘干工序产生的燃烧废气。 （3）噪声：生产设备综合噪声等。 （4）固体废物：办公生活垃圾、一般固废、危险废物。,工艺流程简述（图示）： 图2-3 项目抽屉拉手、柜子拉手、门拉手生产工艺流程及产污环节示意图工艺流程说明： ①检查：人工检查原料是否有明显油迹，有明显油迹的要使用无尘擦拭布进行擦拭。 ②上挂：将经过检查的工件进行上挂。 ③除尘：工件喷涂前需要进入除尘房以清除表面粘附的少量灰尘，除尘房的除尘工艺为静电除尘。静电除尘原理：利用静电除尘枪高速吹出带有正负电荷离子的气流，将工件上所带的电荷中和掉，达到消除静电的目的，工件不再吸附空气中的灰尘，同时高速的压缩气流还可将物体上的灰尘吹走。 ④喷纳米油：工件经过流水线进入喷漆房进行喷涂作业，喷涂喷涂工艺为静电喷涂， 利用电晕放电原理使雾化涂料在高压直流电场作用下荷负电，并吸附于荷正电基底表面。 喷纳米油使用的喷枪需要定期进行清洗，清洗过程利用喷枪的供漆管道接入洗枪水的包装桶进行抽出并从喷口处喷出即可达到清洗的效果。喷漆房共设有喷枪8支，每4支一组（共分成两组）喷枪以满足工件不同角度进行同时喷涂，工作日每10天清洗一次全部的喷枪。 ⑤烘干：喷完纳米油的工件会通过流水线进入烘干线进行烘干，烘干线内温度约为160℃。 ⑥下挂：将工件取下生产线。 ⑦打包：人工将烘干完的工件进行打包得到成品。 二、主要产污工序 （1）废水：生活污水；水帘柜废水、喷淋塔废水。 （2）废气：喷纳米油产生的漆雾；喷纳米油、烘干、清洗喷枪工序产生的VOCs和恶臭；烘干工序产生的燃烧废气。 （3）噪声：生产设备综合噪声等。 （4）固体废物：办公生活垃圾、一般固废、危险废物。,工艺流程和产排污环节 | 工艺流程简述（图示）： 图2-3 项目抽屉拉手、柜子拉手、门拉手生产工艺流程及产污环节示意图工艺流程说明： ①检查：人工检查原料是否有明显油迹，有明显油迹的要使用无尘擦拭布进行擦拭。 ②上挂：将经过检查的工件进行上挂。 ③除尘：工件喷涂前需要进入除尘房以清除表面粘附的少量灰尘，除尘房的除尘工艺为静电除尘。静电除尘原理：利用静电除尘枪高速吹出带有正负电荷离子的气流，将工件上所带的电荷中和掉，达到消除静电的目的，工件不再吸附空气中的灰尘，同时高速的压缩气流还可将物体上的灰尘吹走。 ④喷纳米油：工件经过流水线进入喷漆房进行喷涂作业，喷涂喷涂工艺为静电喷涂， 利用电晕放电原…,PL006_佛山市顺德区乐鲸科技有限公司年产五金拉手300万个新建项目_01_修改评估意见.docx
PL006,佛山市顺德区乐鲸科技有限公司年产五金拉手300万个新建项目,E2,E2-2,"{""section"": ""二、建设项目工程分析"", ""table_number"": ""表2-3"", ""table_name"": ""本项目原辅料消耗一览表"", ""field_name"": ""产品名称/备注/产能""}",与项目有关的原有环境污染问题 | 本项目属于新建项目，新厂址租用已建成的空置厂房作为生产场所，无原有污染问题。,本项目属于新建项目，新厂址租用已建成的空置厂房作为生产场所，无原有污染问题。,与项目有关的原有环境污染问题 | 本项目属于新建项目，新厂址租用已建成的空置厂房作为生产场所，无原有污染问题。,PL006_佛山市顺德区乐鲸科技有限公司年产五金拉手300万个新建项目_01_修改评估意见.docx
PL006,佛山市顺德区乐鲸科技有限公司年产五金拉手300万个新建项目,E4,E4-1,"{""section"": ""二、建设项目工程分析"", ""table_number"": null, ""table_name"": null, ""field_name"": ""工艺流程简述/生产工艺流程""}",包装,,工艺流程简述（图示）： 图2-3 项目抽屉拉手、柜子拉手、门拉手生产工艺流程及产污环节示意图工艺流程说明： ①检查：人工检查原料是否有明显油迹，有明显油迹的要使用无尘擦拭布进行擦拭。 ②上挂：将经过检查的工件进行上挂。 ③除尘：工件喷涂前需要进入除尘房以清除表面粘附的少量灰尘，除尘房的除尘工艺为静电除尘。静电除尘原理：利用静电除尘枪高速吹出带有正负电荷离子的气流，将工件上所带的电荷中和掉，达到消除静电的目的，工件不再吸附空气中的灰尘，同时高速的压缩气流还可将物体上的灰尘吹走。 ④喷纳米油：工件经过流水线进入喷漆房进行喷涂作业，喷涂喷涂工艺为静电喷涂， 利用电晕放电原理使雾化涂料在高压直流电场…,PL006_佛山市顺德区乐鲸科技有限公司年产五金拉手300万个新建项目_01_修改评估意见.docx
PL007,广东云晟新材料有限公司年产水性涂料2400吨新建项目,E1,E1-1,"{""section"": ""一、建设项目基本情况"", ""table_number"": null, ""table_name"": null, ""field_name"": ""国民经济行业类别""}",国民经济行业类别 C2641涂料制造,,国民经济行业类别 C2641涂料制造,PL007_广东云晟新材料有限公司年产水性涂料2400吨新建项目_01_修改评估意见.docx
PL007,广东云晟新材料有限公司年产水性涂料2400吨新建项目,E3,E3-1,"{""section"": ""二、建设项目工程分析"", ""table_number"": ""表2-3"", ""table_name"": ""项目原、辅料及能源消耗一览表"", ""field_name"": ""物料名称""}",与项目有关的原有环境污染问题 | 本项目属于新建项目，租用已建成的空置厂房作为生产场所，无原有污染问题。,,与项目有关的原有环境污染问题 | 本项目属于新建项目，租用已建成的空置厂房作为生产场所，无原有污染问题。,PL007_广东云晟新材料有限公司年产水性涂料2400吨新建项目_01_修改评估意见.docx
PL007,广东云晟新材料有限公司年产水性涂料2400吨新建项目,E4,E4-1,"{""section"": ""二、建设项目工程分析"", ""table_number"": null, ""table_name"": null, ""field_name"": ""工艺流程简述/生产工艺流程""}",投料、分散、搅拌、研磨、过滤、固化、冷却、包装,,工艺流程简述（图示）： 1、项目生产工艺流程及产污环节 图2-2 项目水性涂料生产工艺流程及产污环节示意图 工艺流程说明：1、投料：根据水性涂料产品的配方在指定投料区按比例依次往分散缸投加树脂（水性丙烯酸树脂、水性聚酯树脂、水性环氧树脂、水性氨基树脂）、溶剂（乙二醇单丁醚、正丁醇、乙醇、二丙二醇丁醚、二丙二醇甲醚、纯水）和颜填料（钛白粉、碳黑、红色粉、兰色粉、绿色粉、黄色粉、水性银粉、珠光粉、滑石粉、硅灰石、硫酸钡）。其中，纯水为项目纯水机自行制备。另外，项目投料工序所加入的颜填料多数为粉末状固体，该工序会产生粉尘。 2、分散：利用高速分散机对原料进行搅拌分散，使物料充分混匀。常温常压搅拌6…,PL007_广东云晟新材料有限公司年产水性涂料2400吨新建项目_01_修改评估意见.docx
PL008,佛山市顺德区亚马逊涂料有限公司迁扩建项目,E1,E1-1,"{""section"": ""一、建设项目基本情况"", ""table_number"": null, ""table_name"": null, ""field_name"": ""国民经济行业类别""}",国民经济行业类别 C2641 涂料制造,,国民经济行业类别 C2641 涂料制造,PL008_佛山市顺德区亚马逊涂料有限公司迁扩建项目_01_修改评估意见.docx
